date,daily_max_sust_knots,daily_mean_sust_knots,daily_min_press_hpa,precip_mm,daily_mean_tmpf_F,WVHT_mean
2017-09-12,6.0,2.121212121212121,1011.2,0.3,61.303030303030305,2.0389361702127657
2017-09-13,9.0,3.204081632653061,1011.4,0.0,55.077551020408166,2.378936170212766
2017-09-14,13.0,4.848484848484849,1012.5,0.0,54.54545454545455,1.9108333333333334
2017-09-15,9.0,3.7058823529411766,1015.4,0.0,52.94705882352941,1.0410416666666666
2017-09-16,9.0,3.6578947368421053,1014.1,0.0,53.41025641025641,1.3620833333333333
2017-09-17,10.0,3.515151515151515,1015.7,3.8,53.15151515151515,0.9836170212765957
2017-09-18,11.0,2.6666666666666665,1014.4,1.8,59.32380952380952,0.815
2017-09-19,12.0,4.024390243902439,1016.5,1.8,58.0780487804878,2.971458333333333
2017-09-20,12.0,6.896551724137931,1012.7,7.1,58.16896551724138,3.16936170212766
2017-09-21,8.0,3.730769230769231,1012.8,0.0,52.30769230769231,2.741304347826087
2017-09-22,16.0,4.291666666666667,1013.9,0.0,51.666666666666664,2.6493617021276594
2017-09-23,14.0,5.458333333333333,1015.0,0.0,53.458333333333336,2.4412499999999997
2017-09-24,12.0,4.735294117647059,1015.9,0.0,53.705882352941174,1.6606249999999998
2017-09-25,10.0,3.5,1016.7,0.0,54.6764705882353,1.5980851063829786
2017-09-26,12.0,3.8518518518518516,1011.8,0.0,57.92857142857143,1.554782608695652
2017-09-27,12.0,3.8333333333333335,1011.6,0.0,62.5,1.612127659574468
2017-09-28,7.0,1.607843137254902,1012.6,0.0,52.627450980392155,0.9639583333333334
2017-09-29,12.0,4.27027027027027,1015.8,0.0,57.38918918918919,1.1448936170212767
2017-09-30,14.0,5.7368421052631575,1018.3,0.0,57.44736842105263,1.5311111111111113
2017-10-01,17.0,6.208333333333333,1018.4,0.0,54.708333333333336,1.7780434782608696
2017-10-02,19.0,8.96,1015.5,0.0,53.56,2.226086956521739
2017-10-03,17.0,7.125,1012.6,0.0,56.5,2.156875
2017-10-04,14.0,3.9583333333333335,1014.0,0.0,53.5,1.4613333333333334
2017-10-05,8.0,2.064516129032258,1018.7,0.0,49.329032258064515,0.8739130434782609
2017-10-06,14.0,4.0,1018.4,0.0,51.166666666666664,1.41125
2017-10-07,14.0,5.0,1018.3,0.0,51.96296296296296,1.7562499999999999
2017-10-08,20.0,9.75,1016.8,0.0,55.291666666666664,2.9506666666666668
2017-10-09,18.0,5.958333333333333,1012.6,0.0,59.583333333333336,3.6943750000000004
2017-10-10,15.0,3.8846153846153846,1012.9,0.0,51.784615384615385,2.4529166666666664
2017-10-11,14.0,4.678571428571429,1016.7,0.3,49.107142857142854,2.3529787234042554
2017-10-12,14.0,4.75,1023.0,0.0,47.875,3.011875
2017-10-13,15.0,5.208333333333333,1024.1,0.0,48.875,2.426458333333333
2017-10-14,13.0,6.6,1018.9,0.0,53.24,2.733333333333333
2017-10-15,6.0,3.2083333333333335,1018.2,0.0,53.083333333333336,2.6335416666666664
2017-10-16,6.0,2.0416666666666665,1019.4,0.0,51.791666666666664,1.6993749999999999
2017-10-17,13.0,2.341463414634146,1019.1,0.3,49.44390243902439,2.076041666666667
2017-10-18,8.0,2.819672131147541,1017.7,0.0,47.885245901639344,2.1560416666666664
2017-10-19,20.0,6.0576923076923075,1008.6,34.5,55.033962264150944,1.9602083333333333
2017-10-20,11.0,4.826086956521739,1009.0,5.8,50.71304347826087,5.786666666666666
2017-10-21,15.0,6.896551724137931,1021.0,0.5,51.710344827586205,4.261041666666666
2017-10-22,8.0,5.108108108108108,1024.3,0.0,60.62162162162162,3.2877083333333332
2017-10-23,6.0,2.611111111111111,1025.5,0.0,55.111111111111114,3.475
2017-10-24,7.0,2.857142857142857,1019.7,0.0,63.5,3.32875
2017-10-25,6.0,2.130434782608696,1016.6,0.0,52.51884057971015,2.5483333333333333
2017-10-26,8.0,2.5925925925925926,1015.1,0.0,50.422222222222224,2.5
2017-10-27,7.0,1.2083333333333333,1015.7,0.0,46.131506849315066,1.720625
2017-10-28,8.0,1.148936170212766,1016.4,0.0,49.21702127659574,2.5572916666666665
2017-10-29,11.0,3.0615384615384613,1015.4,0.3,53.089230769230774,2.9622916666666668
2017-10-30,10.0,3.34375,1010.3,0.0,51.71875,2.1443749999999997
2017-10-31,7.0,3.44,1009.9,0.0,48.583999999999996,2.0775
2017-11-01,6.0,2.3076923076923075,1014.2,0.3,47.965384615384615,1.604864864864865
2017-11-02,7.0,2.4722222222222223,1015.0,3.6,50.52222222222222,1.729795918367347
2017-11-03,11.0,3.4936708860759493,1014.5,30.0,50.760000000000005,1.8929787234042552
2017-11-04,9.0,2.5,1016.4,0.0,42.27916666666667,2.116304347826087
2017-11-05,11.0,5.857142857142857,1018.1,1.3,45.84571428571428,1.7435416666666665
2017-11-06,12.0,4.135135135135135,1019.3,0.0,46.5945945945946,2.5702083333333334
2017-11-07,5.0,2.1538461538461537,1017.6,0.0,43.353846153846156,1.4675
2017-11-08,19.0,8.296296296296296,1006.2,18.0,52.925925925925924,2.3770212765957446
2017-11-09,15.0,7.242424242424242,1006.1,15.2,55.09090909090909,3.61
2017-11-10,13.0,7.170212765957447,1012.7,17.8,54.43404255319149,2.4910416666666664
2017-11-11,11.0,5.407407407407407,1016.1,0.0,54.25925925925926,2.1064583333333333
2017-11-12,18.0,5.375,1013.9,0.5,56.166666666666664,1.1063829787234043
2017-11-13,17.0,8.380952380952381,1013.3,28.2,54.08571428571428,2.5485416666666665
2017-11-14,11.0,6.3076923076923075,1021.1,0.0,49.88461538461539,3.2606249999999997
2017-11-15,13.0,4.827586206896552,1003.7,4.6,52.13793103448276,2.80125
2017-11-16,26.0,8.764705882352942,1003.0,2.3,52.57058823529412,3.015625
2017-11-17,13.0,4.466666666666667,1011.0,2.3,46.96774193548387,2.129583333333333
2017-11-18,6.0,3.3846153846153846,1023.0,0.0,42.46153846153846,1.576875
2017-11-19,6.0,2.9615384615384617,1017.0,0.3,41.95384615384615,1.0239583333333333
2017-11-20,13.0,7.585365853658536,1011.7,23.4,56.678048780487806,2.0835416666666666
2017-11-21,12.0,7.275862068965517,1014.7,0.0,63.58620689655172,1.9473333333333331
2017-11-22,17.0,5.625,1016.9,14.2,61.34375,2.663191489361702
2017-11-23,11.0,4.8108108108108105,1018.3,5.1,59.935135135135134,2.653829787234043
2017-11-24,12.0,3.8974358974358974,1018.9,0.3,51.869230769230775,2.031063829787234
2017-11-25,10.0,1.6428571428571428,1008.9,0.0,50.364285714285714,1.6766666666666667
2017-11-26,24.0,10.282051282051283,1007.8,16.0,60.158974358974355,2.8335416666666666
2017-11-27,18.0,6.379310344827586,1009.9,0.0,48.59310344827586,3.38875
2017-11-28,7.0,3.0285714285714285,1020.8,4.8,45.879999999999995,2.6802083333333333
2017-11-29,14.0,3.9310344827586206,1023.3,0.0,45.358620689655176,4.511914893617021
2017-11-30,7.0,3.7586206896551726,1022.5,0.0,44.13793103448276,4.609333333333333
2017-12-01,7.0,2.5135135135135136,1020.5,0.0,48.58378378378378,4.072222222222222
2017-12-02,9.0,3.236842105263158,1015.7,20.6,45.17894736842105,3.8802083333333335
2017-12-03,13.0,4.75,1015.4,1.5,45.916666666666664,3.73531914893617
2017-12-04,13.0,5.580645161290323,1025.7,0.0,46.806451612903224,3.1609302325581394
2017-12-05,7.0,3.7916666666666665,1022.9,0.0,48.125,2.235744680851064
2017-12-06,6.0,3.1666666666666665,1023.4,0.0,48.541666666666664,2.1799999999999997
2017-12-07,4.0,2.090909090909091,1025.8,0.0,48.72727272727273,1.2095454545454545
2017-12-08,8.0,2.9166666666666665,1028.8,0.0,51.166666666666664,1.1563829787234043
2017-12-09,7.0,3.5416666666666665,1025.8,0.0,51.541666666666664,1.4955555555555555
2017-12-10,6.0,3.0833333333333335,1022.8,0.0,49.541666666666664,1.6700000000000002
2017-12-11,7.0,3.5416666666666665,1022.5,0.0,51.833333333333336,1.695744680851064
2017-12-12,7.0,3.4166666666666665,1024.9,0.0,48.958333333333336,1.9061363636363637
2017-12-13,5.0,2.3529411764705883,1021.0,0.0,47.22941176470588,2.1336363636363633
2017-12-14,8.0,2.4594594594594597,1019.8,0.0,48.68648648648649,2.210909090909091
2017-12-15,7.0,2.1931818181818183,1021.2,0.0,46.28636363636363,2.4390909090909094
2017-12-16,19.0,9.933333333333334,1021.7,0.0,52.0,3.5115909090909088
2017-12-17,15.0,4.958333333333333,1020.6,0.0,47.208333333333336,2.662391304347826
2017-12-18,7.0,3.033333333333333,1020.3,0.0,44.5,1.9488636363636365
